,path,label
6751,../data/AID/Port/port_181.jpg,Port
595,../data/AID/BareLand/bareland_310.jpg,BareLand
456,../data/AID/BareLand/bareland_186.jpg,BareLand
1770,../data/AID/Center/center_207.jpg,Center
7085,../data/AID/RailwayStation/railwaystation_14.jpg,RailwayStation
279,../data/AID/Airport/airport_350.jpg,Airport
4136,../data/AID/Industrial/industrial_375.jpg,Industrial
6777,../data/AID/Port/port_204.jpg,Port
5882,../data/AID/Playground/playground_11.jpg,Playground
5738,../data/AID/Parking/parking_331.jpg,Parking
6504,../data/AID/Pond/pond_337.jpg,Pond
7334,../data/AID/Resort/resort_13.jpg,Resort
6760,../data/AID/Port/port_19.jpg,Port
7924,../data/AID/River/river_40.jpg,River
9043,../data/AID/Stadium/stadium_200.jpg,Stadium
4856,../data/AID/Mountain/mountain_159.jpg,Mountain
1738,../data/AID/Center/center_179.jpg,Center
4071,../data/AID/Industrial/industrial_316.jpg,Industrial
2780,../data/AID/DenseResidential/denseresidential_351.jpg,DenseResidential
765,../data/AID/BaseballField/baseballfield_185.jpg,BaseballField
6032,../data/AID/Playground/playground_245.jpg,Playground
6233,../data/AID/Playground/playground_93.jpg,Playground
8558,../data/AID/SparseResidential/sparseresidential_61.jpg,SparseResidential
1276,../data/AID/Beach/beach_87.jpg,Beach
3632,../data/AID/Forest/forest_146.jpg,Forest
359,../data/AID/Airport/airport_99.jpg,Airport
4943,../data/AID/Mountain/mountain_237.jpg,Mountain
12,../data/AID/Airport/airport_11.jpg,Airport
7597,../data/AID/River/river_105.jpg,River
6893,../data/AID/Port/port_309.jpg,Port
1498,../data/AID/Bridge/bridge_287.jpg,Bridge
9389,../data/AID/StorageTanks/storagetanks_251.jpg,StorageTanks
5712,../data/AID/Parking/parking_308.jpg,Parking
5768,../data/AID/Parking/parking_359.jpg,Parking
5029,../data/AID/Mountain/mountain_314.jpg,Mountain
2776,../data/AID/DenseResidential/denseresidential_348.jpg,DenseResidential
4839,../data/AID/Mountain/mountain_143.jpg,Mountain
2959,../data/AID/Desert/desert_143.jpg,Desert
5424,../data/AID/Park/park_49.jpg,Park
97,../data/AID/Airport/airport_187.jpg,Airport
2076,../data/AID/Church/church_32.jpg,Church
3225,../data/AID/Farmland/farmland_112.jpg,Farmland
9553,../data/AID/StorageTanks/storagetanks_75.jpg,StorageTanks
4568,../data/AID/MediumResidential/mediumresidential_160.jpg,MediumResidential
1377,../data/AID/Bridge/bridge_178.jpg,Bridge
59,../data/AID/Airport/airport_152.jpg,Airport
679,../data/AID/BaseballField/baseballfield_107.jpg,BaseballField
8855,../data/AID/Square/square_329.jpg,Square
6410,../data/AID/Pond/pond_252.jpg,Pond
2141,../data/AID/Church/church_91.jpg,Church
5126,../data/AID/Mountain/mountain_96.jpg,Mountain
4587,../data/AID/MediumResidential/mediumresidential_178.jpg,MediumResidential
3888,../data/AID/Industrial/industrial_151.jpg,Industrial
6547,../data/AID/Pond/pond_376.jpg,Pond
5715,../data/AID/Parking/parking_310.jpg,Parking
6710,../data/AID/Port/port_144.jpg,Port
1667,../data/AID/Center/center_114.jpg,Center
2606,../data/AID/DenseResidential/denseresidential_195.jpg,DenseResidential
1957,../data/AID/Church/church_141.jpg,Church
2862,../data/AID/DenseResidential/denseresidential_56.jpg,DenseResidential
5635,../data/AID/Parking/parking_239.jpg,Parking
1292,../data/AID/Bridge/bridge_100.jpg,Bridge
5097,../data/AID/Mountain/mountain_7.jpg,Mountain
2304,../data/AID/Commercial/commercial_238.jpg,Commercial
4042,../data/AID/Industrial/industrial_290.jpg,Industrial
4758,../data/AID/MediumResidential/mediumresidential_70.jpg,MediumResidential
4364,../data/AID/Meadow/meadow_229.jpg,Meadow
9250,../data/AID/StorageTanks/storagetanks_126.jpg,StorageTanks
8842,../data/AID/Square/square_317.jpg,Square
4477,../data/AID/Meadow/meadow_79.jpg,Meadow
6868,../data/AID/Port/port_287.jpg,Port
4973,../data/AID/Mountain/mountain_264.jpg,Mountain
1351,../data/AID/Bridge/bridge_154.jpg,Bridge
9533,../data/AID/StorageTanks/storagetanks_57.jpg,StorageTanks
8503,../data/AID/SparseResidential/sparseresidential_282.jpg,SparseResidential
8693,../data/AID/Square/square_183.jpg,Square
9712,../data/AID/Viaduct/viaduct_218.jpg,Viaduct
1842,../data/AID/Center/center_38.jpg,Center
9072,../data/AID/Stadium/stadium_227.jpg,Stadium
9951,../data/AID/Viaduct/viaduct_55.jpg,Viaduct
8239,../data/AID/School/school_44.jpg,School
7703,../data/AID/River/river_200.jpg,River
513,../data/AID/BareLand/bareland_237.jpg,BareLand
3045,../data/AID/Desert/desert_220.jpg,Desert
2313,../data/AID/Commercial/commercial_246.jpg,Commercial
2504,../data/AID/DenseResidential/denseresidential_102.jpg,DenseResidential
3628,../data/AID/Forest/forest_142.jpg,Forest
6879,../data/AID/Port/port_297.jpg,Port
2384,../data/AID/Commercial/commercial_31.jpg,Commercial
6087,../data/AID/Playground/playground_295.jpg,Playground
9580,../data/AID/Viaduct/viaduct_1.jpg,Viaduct
8395,../data/AID/SparseResidential/sparseresidential_185.jpg,SparseResidential
9311,../data/AID/StorageTanks/storagetanks_181.jpg,StorageTanks
4569,../data/AID/MediumResidential/mediumresidential_161.jpg,MediumResidential
1311,../data/AID/Bridge/bridge_118.jpg,Bridge
1711,../data/AID/Center/center_154.jpg,Center
3466,../data/AID/Farmland/farmland_33.jpg,Farmland
7595,../data/AID/River/river_103.jpg,River
6728,../data/AID/Port/port_160.jpg,Port
4501,../data/AID/MediumResidential/mediumresidential_10.jpg,MediumResidential
3177,../data/AID/Desert/desert_7.jpg,Desert
7010,../data/AID/Port/port_72.jpg,Port
8410,../data/AID/SparseResidential/sparseresidential_199.jpg,SparseResidential
1327,../data/AID/Bridge/bridge_132.jpg,Bridge
8014,../data/AID/School/school_111.jpg,School
5760,../data/AID/Parking/parking_351.jpg,Parking
7585,../data/AID/Resort/resort_95.jpg,Resort
3332,../data/AID/Farmland/farmland_209.jpg,Farmland
7357,../data/AID/Resort/resort_150.jpg,Resort
1491,../data/AID/Bridge/bridge_280.jpg,Bridge
4292,../data/AID/Meadow/meadow_164.jpg,Meadow
5830,../data/AID/Parking/parking_63.jpg,Parking
2844,../data/AID/DenseResidential/denseresidential_409.jpg,DenseResidential
7345,../data/AID/Resort/resort_14.jpg,Resort
1241,../data/AID/Beach/beach_55.jpg,Beach
782,../data/AID/BaseballField/baseballfield_20.jpg,BaseballField
7328,../data/AID/Resort/resort_124.jpg,Resort
2945,../data/AID/Desert/desert_130.jpg,Desert
6442,../data/AID/Pond/pond_281.jpg,Pond
3973,../data/AID/Industrial/industrial_228.jpg,Industrial
2462,../data/AID/Commercial/commercial_65.jpg,Commercial
7684,../data/AID/River/river_184.jpg,River
7582,../data/AID/Resort/resort_92.jpg,Resort
7162,../data/AID/RailwayStation/railwaystation_209.jpg,RailwayStation
1843,../data/AID/Center/center_39.jpg,Center
1314,../data/AID/Bridge/bridge_120.jpg,Bridge
1649,../data/AID/Bridge/bridge_99.jpg,Bridge
9161,../data/AID/Stadium/stadium_46.jpg,Stadium
5667,../data/AID/Parking/parking_268.jpg,Parking
1718,../data/AID/Center/center_160.jpg,Center
3588,../data/AID/Forest/forest_106.jpg,Forest
9301,../data/AID/StorageTanks/storagetanks_172.jpg,StorageTanks
9050,../data/AID/Stadium/stadium_207.jpg,Stadium
9594,../data/AID/Viaduct/viaduct_111.jpg,Viaduct
6837,../data/AID/Port/port_259.jpg,Port
7019,../data/AID/Port/port_80.jpg,Port
7157,../data/AID/RailwayStation/railwaystation_204.jpg,RailwayStation
3084,../data/AID/Desert/desert_256.jpg,Desert
6857,../data/AID/Port/port_277.jpg,Port
2459,../data/AID/Commercial/commercial_62.jpg,Commercial
4897,../data/AID/Mountain/mountain_196.jpg,Mountain
5506,../data/AID/Parking/parking_122.jpg,Parking
1175,../data/AID/Beach/beach_356.jpg,Beach
2122,../data/AID/Church/church_74.jpg,Church
5003,../data/AID/Mountain/mountain_291.jpg,Mountain
2162,../data/AID/Commercial/commercial_11.jpg,Commercial
8298,../data/AID/School/school_98.jpg,School
4129,../data/AID/Industrial/industrial_369.jpg,Industrial
7986,../data/AID/River/river_87.jpg,River
4289,../data/AID/Meadow/meadow_161.jpg,Meadow
3859,../data/AID/Industrial/industrial_125.jpg,Industrial
6262,../data/AID/Pond/pond_119.jpg,Pond
6875,../data/AID/Port/port_293.jpg,Port
4399,../data/AID/Meadow/meadow_260.jpg,Meadow
1298,../data/AID/Bridge/bridge_106.jpg,Bridge
2687,../data/AID/DenseResidential/denseresidential_268.jpg,DenseResidential
214,../data/AID/Airport/airport_292.jpg,Airport
9546,../data/AID/StorageTanks/storagetanks_69.jpg,StorageTanks
1430,../data/AID/Bridge/bridge_225.jpg,Bridge
1470,../data/AID/Bridge/bridge_261.jpg,Bridge
4038,../data/AID/Industrial/industrial_287.jpg,Industrial
992,../data/AID/Beach/beach_191.jpg,Beach
1509,../data/AID/Bridge/bridge_297.jpg,Bridge
1360,../data/AID/Bridge/bridge_162.jpg,Bridge
3452,../data/AID/Farmland/farmland_317.jpg,Farmland
4272,../data/AID/Meadow/meadow_146.jpg,Meadow
9715,../data/AID/Viaduct/viaduct_220.jpg,Viaduct
607,../data/AID/BareLand/bareland_42.jpg,BareLand
7848,../data/AID/River/river_331.jpg,River
1939,../data/AID/Church/church_125.jpg,Church
8800,../data/AID/Square/square_28.jpg,Square
2272,../data/AID/Commercial/commercial_209.jpg,Commercial
3952,../data/AID/Industrial/industrial_209.jpg,Industrial
9052,../data/AID/Stadium/stadium_209.jpg,Stadium
6072,../data/AID/Playground/playground_281.jpg,Playground
2955,../data/AID/Desert/desert_14.jpg,Desert
410,../data/AID/BareLand/bareland_144.jpg,BareLand
8853,../data/AID/Square/square_327.jpg,Square
485,../data/AID/BareLand/bareland_211.jpg,BareLand
418,../data/AID/BareLand/bareland_151.jpg,BareLand
8186,../data/AID/School/school_267.jpg,School
9223,../data/AID/StorageTanks/storagetanks_101.jpg,StorageTanks
7447,../data/AID/Resort/resort_231.jpg,Resort
3019,../data/AID/Desert/desert_198.jpg,Desert
1402,../data/AID/Bridge/bridge_20.jpg,Bridge
8333,../data/AID/SparseResidential/sparseresidential_129.jpg,SparseResidential
4040,../data/AID/Industrial/industrial_289.jpg,Industrial
6277,../data/AID/Pond/pond_132.jpg,Pond
7197,../data/AID/RailwayStation/railwaystation_240.jpg,RailwayStation
8459,../data/AID/SparseResidential/sparseresidential_242.jpg,SparseResidential
1222,../data/AID/Beach/beach_399.jpg,Beach
3522,../data/AID/Farmland/farmland_47.jpg,Farmland
8093,../data/AID/School/school_183.jpg,School
5024,../data/AID/Mountain/mountain_31.jpg,Mountain
6251,../data/AID/Pond/pond_109.jpg,Pond
3695,../data/AID/Forest/forest_202.jpg,Forest
3071,../data/AID/Desert/desert_244.jpg,Desert
8179,../data/AID/School/school_260.jpg,School
427,../data/AID/BareLand/bareland_16.jpg,BareLand
4548,../data/AID/MediumResidential/mediumresidential_142.jpg,MediumResidential
3773,../data/AID/Forest/forest_48.jpg,Forest
3969,../data/AID/Industrial/industrial_224.jpg,Industrial
2898,../data/AID/DenseResidential/denseresidential_89.jpg,DenseResidential
702,../data/AID/BaseballField/baseballfield_128.jpg,BaseballField
8552,../data/AID/SparseResidential/sparseresidential_56.jpg,SparseResidential
4356,../data/AID/Meadow/meadow_221.jpg,Meadow
4386,../data/AID/Meadow/meadow_249.jpg,Meadow
964,../data/AID/Beach/beach_166.jpg,Beach
5841,../data/AID/Parking/parking_73.jpg,Parking
1757,../data/AID/Center/center_196.jpg,Center
9409,../data/AID/StorageTanks/storagetanks_27.jpg,StorageTanks
7166,../data/AID/RailwayStation/railwaystation_212.jpg,RailwayStation
1742,../data/AID/Center/center_182.jpg,Center
4774,../data/AID/MediumResidential/mediumresidential_85.jpg,MediumResidential
4838,../data/AID/Mountain/mountain_142.jpg,Mountain
2910,../data/AID/Desert/desert_1.jpg,Desert
9639,../data/AID/Viaduct/viaduct_152.jpg,Viaduct
7571,../data/AID/Resort/resort_82.jpg,Resort
7577,../data/AID/Resort/resort_88.jpg,Resort
1620,../data/AID/Bridge/bridge_72.jpg,Bridge
1857,../data/AID/Center/center_51.jpg,Center
5827,../data/AID/Parking/parking_60.jpg,Parking
8164,../data/AID/School/school_247.jpg,School
